,mic,ticker,isin,name,status,issuer_name,country_code,currency_code,industry_name,industry_code,super_sector_name,super_sector_code,sector_name,sector_code,sub_sector_name,sub_sector_code,industry_class,domicile,issuer_domicile,distributions,ter,quote_units,asset_class,locality
45,XJSE,DBXEU,ZAE000115937,Db X-Trackers Dj Eu St 5,delisted,The Db X-Tracker CIS,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,,cents,equity,EU
47,XJSE,DBXJP,ZAE000115176,Db X-Trackers Msci Japan,delisted,The Db X-Tracker CIS,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,,cents,equity,JP
44,XJSE,DBXUK,ZAE000115929,Db X-Trackers Ftse 100,delisted,The Db X-Tracker CIS,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,,cents,equity,GB
48,XJSE,DBXUS,ZAE000115192,Db X-Trackers Col In Usa,delisted,The Db X-Tracker CIS,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,,cents,equity,US
46,XJSE,DBXWD,ZAE000115184,Db X-Trackers Col In Wld,delisted,The Db X-Tracker CIS,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,,cents,equity,ZZ
1,XJSE,ZGOVI,ZAE000126686,Zshares Govi,delisted,The Zshares Etf Scheme,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,,cents,bond,ZA
2,XJSE,NRD,ZAE000047841,New Rand,delisted,Trackhedge (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,,cents,equity,ZA
122,XJSE,ETFGLD,ZAE000182523,1Nvest Gold ETF,listed,1Nvest Etfs (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,False,0.25,cents,commodity,ZA
115,XJSE,ETFPLD,ZAE000182531,1Nvest Palladium ETF,listed,1Nvest Etfs (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,False,0.35,cents,commodity,ZA
117,XJSE,ETFPLT,ZAE000182556,1Nvest Platinum ETF,listed,1Nvest Etfs (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,False,0.3,cents,commodity,ZA
165,XJSE,ETFRHO,ZAE000210787,1Nvest Rhodium ETF,listed,1Nvest Etfs (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,False,0.75,cents,commodity,ZA
161,XJSE,ETF500,ZAE000255055,1Nvest S&P500 Index ETF,listed,1Nvest Etfs (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,False,0.27,cents,equity,US
83,XJSE,ETF5IT,ZAE000255063,1Nvest S&P500 It ETF,listed,1Nvest Etfs (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,False,0.35,cents,equity,US
